drug_id,partner_id,gene_name,substrate,inducer,inhibitor
DB00770,BE0001042,SLCO2B1,0,0,1
DB00770,BE0003661,SLCO3A1,0,0,1
DB00770,BE0001188,ABCC4,1,0,0
DB00770,BE0003655,SLCO2A1,1,0,0
DB00770,BE0001066,SLC22A6,1,0,1
DB00773,BE0001061,ABCC3,1,0,1
DB00773,BE0003640,ABCC6,1,0,1
DB00773,BE0001032,ABCB1,1,0,1
DB00773,BE0000785,ABCC1,1,0,1
DB00773,BE0003651,ABCC10,1,0,1
DB00773,BE0001069,ABCC2,1,0,1
DB00773,BE0001067,ABCG2,1,0,0
DB00776,BE0001032,ABCB1,1,0,0
DB00779,BE0001066,SLC22A6,0,0,1
DB00781,BE0001134,SLC15A2,0,0,0
DB00783,BE0003647,SLC22A2,0,0,1
DB00783,BE0003648,SLC22A1,0,0,1
DB00783,BE0003650,SLC22A3,0,0,1
DB00783,BE0001042,SLCO2B1,0,0,1
DB00783,BE0003642,SLCO1A2,0,0,1
DB00783,BE0003651,ABCC10,0,0,1
DB00783,BE0000879,SLC22A11,0,0,1
DB00783,BE0001067,ABCG2,0,1,1
DB00783,BE0001004,SLCO1B1,0,0,1
DB00783,BE0001032,ABCB1,1,0,0
DB00783,BE0003645,SLC22A8,1,0,0
DB00783,BE0003659,SLCO1B3,0,0,0
DB00783,BE0003660,SLCO1C1,0,0,0
DB00783,BE0003656,SLCO4A1,0,0,0
DB00787,BE0003648,SLC22A1,1,0,1
DB00787,BE0001066,SLC22A6,1,0,1
DB00787,BE0003645,SLC22A8,1,0,1
DB00787,BE0003643,SLC10A2,1,0,0
DB00787,BE0003657,SLC47A1,1,0,0
DB00787,BE0004752,SLC47A2,1,0,0
DB00788,BE0003642,SLCO1A2,0,0,1
DB00788,BE0001066,SLC22A6,0,0,1
DB00788,BE0000703,ABCB11,1,0,0
DB00788,BE0001032,ABCB1,0,0,1
DB00788,BE0003645,SLC22A8,0,0,0
DB00790,BE0001018,SLC15A1,1,0,0
DB00790,BE0001134,SLC15A2,1,0,0
DB00795,BE0001067,ABCG2,1,0,1
DB00795,BE0001069,ABCC2,1,0,0
DB00795,BE0001048,SLC46A1,0,0,1
DB00795,BE0001004,SLCO1B1,0,0,1
DB00795,BE0003659,SLCO1B3,0,0,1
DB00795,BE0001042,SLCO2B1,0,0,1
DB00796,BE0001032,ABCB1,0,0,1
DB00798,BE0001066,SLC22A6,0,0,1
DB00802,BE0001032,ABCB1,0,0,1
DB00811,BE0003672,SLC28A3,1,0,0
DB00811,BE0001204,SLC29A1,1,0,0
DB00812,BE0001066,SLC22A6,0,0,1
DB00812,BE0003645,SLC22A8,0,0,1
DB00812,BE0000879,SLC22A11,0,0,1
DB00813,BE0001032,ABCB1,0,0,1
DB00814,BE0001188,ABCC4,1,0,0
DB00819,BE0001066,SLC22A6,0,0,1
DB00821,BE0001066,SLC22A6,0,0,1
DB00822,BE0000703,ABCB11,1,0,0
DB00827,BE0001066,SLC22A6,0,0,1
DB00829,BE0001032,ABCB1,1,0,0
DB00831,BE0001032,ABCB1,0,0,1
DB00833,BE0001018,SLC15A1,0,0,1
DB00833,BE0001134,SLC15A2,0,0,1
DB00833,BE0003645,SLC22A8,1,0,1
DB00833,BE0000703,ABCB11,1,0,0
DB00834,BE0001032,ABCB1,0,1,1
DB00834,BE0000785,ABCC1,0,0,1
DB00834,BE0000703,ABCB11,1,0,0
DB00834,BE0001004,SLCO1B1,0,0,1
DB00834,BE0003659,SLCO1B3,0,0,1
DB00836,BE0001032,ABCB1,1,0,0
DB00843,BE0001067,ABCG2,1,0,0
DB00843,BE0001032,ABCB1,1,0,0
DB00845,BE0000703,ABCB11,0,0,1
DB00845,BE0001032,ABCB1,0,0,1
DB00855,BE0001018,SLC15A1,0,0,1
DB00855,BE0001134,SLC15A2,0,0,1
DB00857,BE0009791,MDR2,1,0,0
DB00859,BE0001004,SLCO1B1,1,0,0
DB00860,BE0003642,SLCO1A2,0,0,1
DB00860,BE0001032,ABCB1,1,0,0
DB00861,BE0001066,SLC22A6,0,0,1
DB00862,BE0001032,ABCB1,1,0,1
DB00863,BE0003648,SLC22A1,1,0,1
DB00863,BE0001032,ABCB1,1,0,1
DB00863,BE0003645,SLC22A8,1,0,0
DB00863,BE0003647,SLC22A2,1,0,0
DB00864,BE0001032,ABCB1,1,1,1
DB00864,BE0003670,ABCA5,1,0,0
DB00864,BE0001004,SLCO1B1,0,0,1
DB00875,BE0001032,ABCB1,0,0,1
DB00876,BE0001069,ABCC2,0,1,0
DB00877,BE0001032,ABCB1,0,1,1
DB00877,BE0001004,SLCO1B1,0,0,1
DB00877,BE0003657,SLC47A1,0,0,0
DB00879,BE0003657,SLC47A1,1,0,0
DB00880,BE0001066,SLC22A6,0,0,1
DB00881,BE0001018,SLC15A1,1,0,0
DB00881,BE0001134,SLC15A2,1,0,0
DB00881,BE0003645,SLC22A8,1,0,0
DB00882,BE0001032,ABCB1,1,0,0
DB00887,BE0003644,SLC10A1,1,0,1
DB00887,BE0001066,SLC22A6,1,0,1
DB00887,BE0003645,SLC22A8,0,0,1
DB00887,BE0000879,SLC22A11,0,0,1
DB00887,BE0003646,SLC22A7,0,0,1
DB00887,BE0003642,SLCO1A2,1,0,0
DB00900,BE0001066,SLC22A6,1,0,0
DB00900,BE0001204,SLC29A1,0,0,0
DB00900,BE0004706,SLC29A2,0,0,0
DB00903,BE0001066,SLC22A6,0,0,1
DB00907,BE0003647,SLC22A2,0,0,1
DB00908,BE0003647,SLC22A2,0,0,1
DB00908,BE0003648,SLC22A1,0,0,1
DB00908,BE0000106,SLC22A5,0,0,1
DB00908,BE0001032,ABCB1,1,0,1
DB00908,BE0003642,SLCO1A2,0,0,1
DB00908,BE0003645,SLC22A8,0,0,1
DB00908,BE0001069,ABCC2,0,0,1
DB00908,BE0000757,SLC22A4,0,0,1
DB00908,BE0001004,SLCO1B1,0,0,1
DB00908,BE0000703,ABCB11,0,0,1
DB00911,BE0000703,ABCB11,1,0,0
DB00912,BE0001004,SLCO1B1,1,0,0
DB00912,BE0000703,ABCB11,1,0,0
DB00914,BE0003647,SLC22A2,0,0,1
DB00914,BE0003648,SLC22A1,1,0,0
DB00915,BE0003647,SLC22A2,1,0,1
DB00915,BE0003648,SLC22A1,1,0,1
DB00916,BE0001032,ABCB1,0,0,1
DB00917,BE0003647,SLC22A2,0,0,1
DB00917,BE0003639,ABCC5,0,0,1
DB00917,BE0001066,SLC22A6,1,0,1
DB00917,BE0003645,SLC22A8,1,0,1
DB00917,BE0000879,SLC22A11,0,0,1
DB00917,BE0003646,SLC22A7,1,0,1
DB00917,BE0001188,ABCC4,1,0,0
DB00917,BE0001042,SLCO2B1,1,0,0
DB00917,BE0003642,SLCO1A2,1,0,0
DB00917,BE0003667,SLC51A,1,0,0
DB00917,BE0003668,SLC51B,1,0,0
DB00917,BE0003655,SLCO2A1,1,0,0
DB00917,BE0003656,SLCO4A1,1,0,0
DB00917,BE0003660,SLCO1C1,1,0,0
DB00917,BE0003661,SLCO3A1,1,0,0
DB00917,BE0001004,SLCO1B1,1,0,0
DB00921,BE0001032,ABCB1,0,0,1
DB00921,BE0001067,ABCG2,0,0,1
DB00925,BE0003647,SLC22A2,0,0,1
DB00925,BE0003648,SLC22A1,0,0,1
DB00925,BE0003650,SLC22A3,0,0,1
DB00927,BE0003647,SLC22A2,0,0,1
DB00927,BE0003645,SLC22A8,1,0,1
DB00932,BE0000703,ABCB11,1,0,1
DB00932,BE0001042,SLCO2B1,0,0,1
DB00932,BE0001004,SLCO1B1,0,0,1
DB00932,BE0003659,SLCO1B3,0,0,1
DB00936,BE0001066,SLC22A6,0,0,1
DB00936,BE0003652,SLC22A10,0,0,1
DB00936,BE0003645,SLC22A8,0,0,1
DB00936,BE0000879,SLC22A11,0,0,1
DB00936,BE0001042,SLCO2B1,1,0,0
DB00936,BE0000669,SLC16A1,1,0,0
DB00936,BE0003646,SLC22A7,1,0,0
DB00939,BE0001066,SLC22A6,0,0,1
DB00939,BE0003660,SLCO1C1,0,0,1
DB00943,BE0001066,SLC22A6,1,0,0
DB00943,BE0003646,SLC22A7,1,0,0
DB00943,BE0001204,SLC29A1,0,0,0
DB00943,BE0004706,SLC29A2,0,0,0
DB00945,BE0001066,SLC22A6,0,0,1
DB00945,BE0001032,ABCB1,1,1,0
DB00945,BE0003645,SLC22A8,0,0,1
DB00950,BE0001032,ABCB1,1,0,0
DB00950,BE0001004,SLCO1B1,1,0,0
DB00950,BE0003659,SLCO1B3,1,0,0
DB00950,BE0001042,SLCO2B1,1,0,0
DB00950,BE0003642,SLCO1A2,1,0,0
DB00950,BE0001069,ABCC2,1,0,0
DB00950,BE0001061,ABCC3,1,0,0
DB00950,BE0003645,SLC22A8,1,0,0
DB00957,BE0001069,ABCC2,1,0,0
DB00958,BE0003649,SLC31A1,1,0,0
DB00958,BE0003662,SLC31A2,1,0,0
DB00958,BE0003666,ATP7A,1,0,0
DB00958,BE0003664,ATP7B,1,0,0
DB00958,BE0001067,ABCG2,1,0,0
DB00958,BE0001069,ABCC2,1,0,0
DB00959,BE0001032,ABCB1,1,1,0
DB00966,BE0001032,ABCB1,0,0,1
DB00966,BE0001069,ABCC2,0,0,1
DB00966,BE0001067,ABCG2,0,0,1
DB00966,BE0000703,ABCB11,1,0,0
DB00967,BE0001032,ABCB1,0,0,1
DB00968,BE0001018,SLC15A1,0,0,1
DB00970,BE0000106,SLC22A5,0,0,1
DB00970,BE0001032,ABCB1,1,0,1
DB00970,BE0003640,ABCC6,1,0,0
DB00970,BE0000785,ABCC1,1,0,0
DB00970,BE0001067,ABCG2,1,0,0
DB00972,BE0001032,ABCB1,0,0,1
DB00973,BE0001032,ABCB1,1,0,0
DB00973,BE0001069,ABCC2,1,0,0
DB00973,BE0001004,SLCO1B1,1,0,0
DB00973,BE0004750,ABCG5,1,0,0
DB00973,BE0001061,ABCC3,1,0,0
DB00973,BE0001067,ABCG2,1,0,0
DB00973,BE0004751,ABCG8,1,0,0
DB00973,BE0000703,ABCB11,1,0,0
DB00975,BE0001188,ABCC4,0,0,1
DB00975,BE0003639,ABCC5,0,0,1
DB00975,BE0001032,ABCB1,1,0,1
DB00975,BE0001004,SLCO1B1,0,0,1
DB00975,BE0003659,SLCO1B3,0,0,1
DB00975,BE0001042,SLCO2B1,0,0,1
DB00975,BE0000703,ABCB11,1,0,0
DB00976,BE0001004,SLCO1B1,0,0,1
DB00976,BE0003659,SLCO1B3,0,0,1
DB00977,BE0000703,ABCB11,0,1,1
DB00977,BE0003644,SLC10A1,0,1,0
DB00977,BE0001069,ABCC2,0,1,0
DB00977,BE0001032,ABCB1,1,0,0
DB00978,BE0000106,SLC22A5,0,0,1
DB00978,BE0001069,ABCC2,0,0,1
DB00987,BE0000757,SLC22A4,1,0,0
DB00987,BE0003651,ABCC10,1,0,0
DB00987,BE0001204,SLC29A1,1,0,0
DB00988,BE0003647,SLC22A2,1,0,1
DB00988,BE0003648,SLC22A1,1,0,0
DB00988,BE0003650,SLC22A3,0,0,1
DB00988,BE0000106,SLC22A5,0,0,1
DB00988,BE0003665,POU5F1,1,0,0
DB00996,BE0000222,SLC7A5,1,0,0
DB00997,BE0001032,ABCB1,1,1,1
DB00997,BE0000785,ABCC1,1,0,1
DB00997,BE0001061,ABCC3,0,0,1
DB00997,BE0003640,ABCC6,1,0,1
DB00997,BE0001067,ABCG2,1,0,0
DB00997,BE0003669,SLC22A16,1,0,0
DB00997,BE0003651,ABCC10,0,0,1
DB00997,BE0003673,ABCB8,1,0,0
DB00997,BE0000703,ABCB11,1,0,0
