UniProtId,Label,Gene_Name,hgnc_symbol
O43825,reviewed,B3GT2_HUMAN,B3GT2
Q6XPS3,reviewed,TPTE2_HUMAN,TPTE2
Q3KP44,reviewed,ANR55_HUMAN,ANR55
Q5IJ48,reviewed,CRUM2_HUMAN,CRUM2
P62942,reviewed,FKB1A_HUMAN,FKB1A
P08648,reviewed,ITA5_HUMAN,ITA5
Q9H9J2,reviewed,RM44_HUMAN,RM44
Q6UWF3,reviewed,SCIMP_HUMAN,SCIMP
Q6VUC0,reviewed,AP2E_HUMAN,AP2E
O43824,reviewed,GTPB6_HUMAN,GTPB6
P35658,reviewed,NU214_HUMAN,NU214
Q6XZB0,reviewed,LIPI_HUMAN,LIPI
Q96KK5,reviewed,H2A1H_HUMAN,H2A1H
Q96M83,reviewed,CCDC7_HUMAN,CCDC7
P10914,reviewed,IRF1_HUMAN,IRF1
Q7Z2Z1,reviewed,TICRR_HUMAN,TICRR
Q86UL3,reviewed,GPAT4_HUMAN,GPAT4
Q92820,reviewed,GGH_HUMAN,GGH
Q8TAI1,reviewed,TYMOS_HUMAN,TYMOS
O43827,reviewed,ANGL7_HUMAN,ANGL7
P35659,reviewed,DEK_HUMAN,DEK
Q3SY52,reviewed,ZIK1_HUMAN,ZIK1
P51398,reviewed,RT29_HUMAN,RT29
Q86VI3,reviewed,IQGA3_HUMAN,IQGA3
Q96KK4,reviewed,O10C1_HUMAN,O10C1
P10915,reviewed,HPLN1_HUMAN,HPLN1
Q7Z624,reviewed,CMKMT_HUMAN,CMKMT
Q9H6D3,reviewed,XKR8_HUMAN,XKR8
Q99972,reviewed,MYOC_HUMAN,MYOC
Q8TF20,reviewed,ZN721_HUMAN,ZN721
Q8TDJ6,reviewed,DMXL2_HUMAN,DMXL2
Q86XW9,reviewed,TXND6_HUMAN,TXND6
Q92823,reviewed,NRCAM_HUMAN,NRCAM
Q01664,reviewed,TFAP4_HUMAN,TFAP4
Q9H7V2,reviewed,SYNG1_HUMAN,SYNG1
P59510,reviewed,ATS20_HUMAN,ATS20
Q05DH4,reviewed,FHI1A_HUMAN,FHI1A
O43826,reviewed,G6PT1_HUMAN,G6PT1
Q05639,reviewed,EF1A2_HUMAN,EF1A2
Q6ZT62,reviewed,BGIN_HUMAN,BGIN
P10916,reviewed,MLRV_HUMAN,MLRV
Q6IE38,reviewed,ISK14_HUMAN,ISK14
Q99973,reviewed,TEP1_HUMAN,TEP1
Q8TF21,reviewed,ANR24_HUMAN,ANR24
Q5ZPR3,reviewed,CD276_HUMAN,CD276
H3BV60,reviewed,TGR3L_HUMAN,TGR3L
P01732,reviewed,CD8A_HUMAN,CD8A
P23508,reviewed,CRCM_HUMAN,CRCM
Q86VI1,reviewed,EX3L1_HUMAN,EX3L1
Q9UKU9,reviewed,ANGL2_HUMAN,ANGL2
Q08AH1,reviewed,ACSM1_HUMAN,ACSM1
Q7L211,reviewed,ABHDD_HUMAN,ABHDD
P13498,reviewed,CY24A_HUMAN,CY24A
Q7Z2Z2,reviewed,EFL1_HUMAN,EFL1
Q6DN14,reviewed,MCTP1_HUMAN,MCTP1
O14628,reviewed,ZN195_HUMAN,ZN195
Q96JK2,reviewed,DCAF5_HUMAN,DCAF5
Q8WXF7,reviewed,ATLA1_HUMAN,ATLA1
B7ZC32,reviewed,KIF28_HUMAN,KIF28
P0DMU9,reviewed,CT45A_HUMAN,CT45A
Q86YG4,reviewed,NT5D4_HUMAN,NT5D4
O43820,reviewed,HYAL3_HUMAN,HYAL3
Q9UKU6,reviewed,TRHDE_HUMAN,TRHDE
O14627,reviewed,CDX4_HUMAN,CDX4
Q9Y4D2,reviewed,DGLA_HUMAN,DGLA
P24928,reviewed,RPB1_HUMAN,RPB1
P0DMU8,reviewed,CT455_HUMAN,CT455
P01730,reviewed,CD4_HUMAN,CD4
O43823,reviewed,AKAP8_HUMAN,AKAP8
Q6P3V2,reviewed,Z585A_HUMAN,Z585A
Q3LI68,reviewed,KR222_HUMAN,KR222
P10911,reviewed,MCF2_HUMAN,MCF2
Q9UKU7,reviewed,ACAD8_HUMAN,ACAD8
Q08AH3,reviewed,ACS2A_HUMAN,ACS2A
Q8WWX8,reviewed,SC5AB_HUMAN,SC5AB
Q6NUJ5,reviewed,PWP2B_HUMAN,PWP2B
O14626,reviewed,GP171_HUMAN,GP171
Q9BQ51,reviewed,PD1L2_HUMAN,PD1L2
Q96JK4,reviewed,HIPL1_HUMAN,HIPL1
Q12768,reviewed,WASC5_HUMAN,WASC5
Q9H9J4,reviewed,UBP42_HUMAN,UBP42
Q9H0Z9,reviewed,RBM38_HUMAN,RBM38
Q8WXF5,reviewed,CRGN_HUMAN,CRGN
O43822,reviewed,CF410_HUMAN,CF410
Q96N58,reviewed,ZN578_HUMAN,ZN578
Q13190,reviewed,STX5_HUMAN,STX5
P10912,reviewed,GHR_HUMAN,GHR
Q9NRV9,reviewed,HEBP1_HUMAN,HEBP1
Q13099,reviewed,IFT88_HUMAN,IFT88
Q4VC05,reviewed,BCL7A_HUMAN,BCL7A
Q86WU2,reviewed,LDHD_HUMAN,LDHD
O14625,reviewed,CXL11_HUMAN,CXL11
Q8IZ69,reviewed,TRM2A_HUMAN,TRM2A
