InchiKey,Canonical_SMILES
GZKLJWGUPQBVJQ-UHFFFAOYSA-N,C1CN(CCC1C2=CN(C3=C2C=C(C=C3)Cl)C4=CC=C(C=C4)F)CCN5CCNC5=O
ICUTUKXCWQYESQ-UHFFFAOYSA-N,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl
RTHCYVBBDHJXIQ-UHFFFAOYSA-N,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
RTHCYVBBDHJXIQ-MRXNPFEDSA-N,CNCC[C@H](C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
RTHCYVBBDHJXIQ-INIZCTEOSA-N,CNCC[C@@H](C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
WDFKMLRRRCGAKS-UHFFFAOYSA-N,C1=CC2=C(C(=C(C=C2Cl)Cl)O)N=C1
ZADGGFKUEYIBJC-UHFFFAOYSA-N,CC1CCC(C(C1)OC(=O)C[N+](C)(C)CCCCCCCCCC[N+](C)(C)CC(=O)OC2CC(CCC2C(C)C)C)C(C)C
YMVWGSQGCWCDGW-UHFFFAOYSA-N,CN(C)CCCNC1=C2C(=NC3=CC=CC=C31)C=CC=C2[N+](=O)[O-]
HNTGDFCASLOZEZ-UHFFFAOYSA-N,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)NC5=CC=C(C=C5)O
HNTGDFCASLOZEZ-PGDDNOQISA-N,CC1=C(C(=O)C2=C(C1=O)N3C[C@@H]4[C@H]([C@]3([C@H]2COC(=O)N)OC)N4)NC5=CC=C(C=C5)O
YEWQCWVEXRSMSB-UHFFFAOYSA-M,CC(=O)O[Hg]C1=C(C=CC(=C1)C(C)(C)CC(C)(C)C)O
YZPOQCQXOSEMAZ-UHFFFAOYSA-N,CN(C)CC1=NC2=C(C=C1)C(=CC(=C2O)Cl)Cl
LPFFKRSIFTURFF-SUMWQHHRSA-N,CC1=C(C(=CN2C1=C(C=C(C2=O)C(=O)O)C3CC3)F)N4C[C@@H]5CCCN[C@@H]5C4
RGTPDNXJDCPXAB-UHFFFAOYSA-N,CCCCCCCCN=C1C=CN(C=C1)CCCCCCCC
GABVDWALKPAUEQ-UHFFFAOYSA-M,C1=CC=C(C(=C1)O)[Hg]Cl
